example_id,problem,gold answer
adb9e65164,Which film festival awarded the movie written by Ivo Brešan and edited by Boris Erdelji with the Grand Silver prize in 1980?,Yugoslav Feature Film Festival in Pula
c4e0ad143b,"Which award did the musician who recorded ""Just One Wish"" and ""Brazilia"" win for his keyboard skills in the smooth jazz genre?",American Smooth Jazz Keyboardist of the Year award
47aebb353d,Which television network picked up the program including the episode 'Marlon Wayans and His Hilarious Family' for broadcast in Canada?,Global
8d33a23989,"Which Indonesian singer/songwriter is featured on the opening track ""Summer in Paris"" of the album with the same name as the recording by Ruffstuff?",Anggun
8211606546,What is the name of the Welsh hymn melody associated with the hamlet which has the same name as a recording by John Cavicchio?,Llangloffan
c9f9dde9e8,Which character in the animated film Lil' Ainjil is known for throwing bricks at the character whose series includes the works 'Feather Duster' and 'The Trapeze Artist'?,Ignatz the mouse
f760e28c92,Which city did the Austrian forces retreat to after the battles at the birthplace of Karl Eckhard and Stockach in May 1800?,Meßkirch
9fdb95419f,Which correctional facility is now the only prison in the English county where Mike Edwards and Jonnie Hurn were born?,HM Prison Erlestoke
71b03f0bce,Which British film director and film producer is a distant relative of the author of 'From the Earth to the Moon: The Original Text - Remastered'?,Marc Benardout
6621b49131,Under the supervision of which person did the editor of 'Linguistic Issues in Language Technology Vol 9: Perspectives on Semantic Representations for Textual Inference' complete her doctorate at the University of Cambridge?,Martin Hyland
1f37d63d1b,What was the name of the television show that the person with the same name as the film production designer of 'The Unborn' hosted on the Fox network?,30 Seconds To Fame
d1e3edaf51,"In which city did the person named John H. Gibbons, born on 1929-01-15, die in 2015?",Crozet
d26409d848,What was the name of the goldsmith in charge of marking the devalued placks with a heart and star associated with the same name as the birthplace of Lawrence Adamson in March 1574?,James Gray
c7f4e24e5b,"What mythical creature is integrated into the letter O of the company with the same name as the record label that produced 'Babydream, Vol. 13: Tierische Lieder'?",A centaur
6474208bca,"What is the name of the village in Leicestershire where the author of the book M in the Kitāb Al-Amālī Of Abū ʿalī Ismāʿīl Ibn Al-Ḳāsim Al-Ḳālī (Būlāḳ Edition, A.H. 1324): I: Names of Poets II: Rhymes and his wife Ada settled in 1920?",Quorn
14d6fdf1ea,In which French department is the commune that was the birthplace of Eugène Charles Miroy located?,Ardennes
4a4d2890d6,Which community in Obubra Local Government Area in Cross River state was involved in a land dispute with the community with the same name as the artist who recorded the track TOKYO that was settled in June 2024?,Onyadama community
b79b6b91b9,What title was Victor Marie d'Estrées given after successfully sailing the founder of the Royal Academy of Pharmacy to Naples?,Grandee of Spain
63b5eb1f89,What was the profession of the person with the same name as the U.S. legislator who co-sponsored the Mental Health Telemedicine Expansion Act when he started in strongman competitions?,photocopier engineer
b31526e5b2,What is the name of the square near which Sergey Zhuravlev lives in a communal apartment in the film with the synopsis 'Three lifelong friends return to Moscow after their military service'?,Zastava Ilyicha Square
d9631e5fbd,What is the name of the dialect used by the dancehall reggae sound system which recorded the songs 'Reggae Internazionale' and 'Punnuieu' in their lyrics?,Salentino dialect
fdc9396731,What is the name of the software product from the software developer which created Network Information Service and whose slogan is 'The network is the computer.' that implements the Microsoft Windows Application Programming Interface specifications?,Wabi
c02e015a80,Which British explorer first sighted the birthplace of Pauline Mackay in 1602?,Bartholomew Gosnold
ae09cfef8f,"What is the name of the country where the featured artist on the album 'Didare Jodaee', Sara Naeini, was arrested as part of a government crackdown on artists?",Iran
d5f9b2924e,Which Australian passenger train service was replaced by road coaches beyond the birthplace of Travis Birt on 20 August 1993?,The Gippslander
ba2a195e2d,"What was the name of the project at Boston College where the triathlete Rick Hoyt worked, helping to develop systems for people with disabilities?",EagleEyes Project
757e343bc1,"Which political party was founded in 1967 in the location completely contained within the United States which is the subject of the Puerto Rico Film, Television, and Theatre Production Act of 2021?",New Progressive Party
e184e2b9c9,"Which Portuguese American writer is known for their work about the author of 'The Authentic Letters of Columbus, Volume 1, Issue 2' and was born in Madalena?",Manuel da Silva Rosa
b9dc9fa1f9,"Which organization's board of directors declared that the employment of the artist who recorded the track ""Love Letter to Chi"" had been ended, following a statement by Sam Van Cook?",Young Chicago Authors
f6a260ce7c,"Which French punk rock and alternative rock group covered the song with the same name as a recording by Old Head on their album ""17 plombs pour péter les tubes"" in 1994?",Ludwig von 88
a052c9f138,"What was the title given to the person also known as Prince Chao Noi Sukkasem, a member of the royal family of Chiang Mai, that did not grant him the right to ascend the throne?",Chao Uttarakan Kosit
5d48e3d3fa,Which team did the manager with the same name as the editor of 'The Scottish Quotation Book: A Literary Companion' tour New Zealand in 1990 and Australia in 1992?,Great Britain RL team
9d86b6292f,During the reign of which English monarch did the practice of purchasing officer's commissions in the armed force with units including the 107th (Bengal Infantry) Regiment of Foot and the 43rd Infantry Brigade begin?,Charles II of England
9ac2b27997,In which city did the Welsh rugby player with the same name as the producer of the track Crescent City Serenade become a taxi driver after his rugby league career ended?,Huddersfield
f07bf03608,To whom did the artist who recorded 'Symphony no. 1 - IV. Finale: Bewegt und feurig' dedicate the song 'Der Lehrerstand'?,Michael Bogner
c48f45bddb,"Which cultural group of the birthplace of Washington Banian is composed of at least 240 different peoples, each with its own language and culture?",Papuans
11661b4374,Which mine was credited as being more consistent in yielding annual dividends during the late nineteenth century than any other mine in the US state for which Utahraptor is named?,The Ontario mine
53f35b5f72,In which English football league did the team from the same place as the birthplace of Wilf Threlfall play in during the 2007–08 season?,League Two
595adff005,"What was the birth name of the American professional boxer with the same name as the author of ""History of Egypt, Chaldea, Syria, Babylonia, and Assyria in the Light of Recent Discovery""?",William Hall
082f182bcf,What is the name of the area in the Jordanian capital and birthplace of Dr. Diya AlAqil that is characterized by compact buildings with concrete facades?,Eastern Amman
1f08cc60c2,Which tennis player partnered with the mother of Jagger Leach to win the doubles title at the 1995 Nichirei International Championships?,Mary Joe Fernández
14f90b996b,Which football club released the person born on 1998-11-30 with the alias J. Antwi at the end of the 2017–18 season?,AFC Wimbledon
9187ad104d,What is the name of the biblical city that was the home of the entity with the same name as the 2008 film or the recording by Xay Hill?,Gath
b0874052e7,What is the name of the independent press devoted to gay literature that the author of 'Paul's Cat' established in 2010?,Chelsea Station Editions
fe32c65b62,What is the name of the genus of tiger moths that was erected in 1807 by the person born on 1761-06-20?,Hypocrita
ec75ce917d,Which American musician and composer led the band that recorded the tracks 'Ghost Riders in the Sky' and 'Baja Nights'?,Julius Wechter
b145fc1408,Which television series did the media producer of 'Werewolves Within' win an Emmy for his guest acting role in?,Ted Lasso
3db9f6ffb2,"According to a study performed at the educational institution also known as UNISI, Italy, what was the form of distraction used in the passive distraction experimental group during venipuncture?",watching a TV cartoon
0bea57bc6b,"In the 1999 television series with the same name as albums by Lucía Méndez and recordings by Lisette Melendez, what is the name of the character who abandoned her two-year-old daughter?",Rosario
29f605d445,What is the name of the Australian record label that released the debut album 'Ele' by the artist who recorded the song 'Heko'?,Sigma Editions
68435f4bb0,"What is the brand name of the first notebook computer released by the programming language developer which helped develop COMTRAN on October 5, 1992?",ThinkPad
2a39846dcd,"Which fashion designer created the clothes and outfits for the Japanese rock band which recorded the album ""Sister""?",H. Naoto
74ebc74fac,What is the name of the first single released from the album '4.0' by the artist who recorded the song 'Grande' and the track 'Abismo (live Madame Noir)'?,Solo Se Vive una Vez (4.0 Version)
b95765b522,Which city did the composer of the musical work The Resolution move to after leaving Los Angeles and taking a step back from the music industry?,San Clemente
bc11be5b6f,Which river is the birthplace of Wilhelm Zaisser located on?,Emscher River
f2bb4f0069,Which player was named hurling captain for the 2020 season of the same name as the birthplace of Stacey Flood and Dane Massey?,Danny Sutcliffe
ee4c8cdf7d,Which song from the album with a track titled 'Dark Night of the Soul' received a GMA Canada nomination for Instrumental Song Of The Year in 2008?,Moon Over Birkenau
a9dda53786,In which city was the band which recorded the track Yang Farang Dub formed in 2015?,Khon Kaen
6da1601713,Which creative agency was founded by the artist who recorded the track 'T.D.' and the composer of 'Am I Dreaming' and simulated a platform of game boy to get visitors immersed?,AWGE
b16c20c7a5,"According to a review in The Guardian, which series of novels by the author of 'Crossing the lines editions of books' is described as semi-autobiographical?",The Soldier's Return series
edc968cf24,Which musician played keyboard and guitar on the album 'Man in the Moon' by the band which recorded the songs 'Word to the Wise Guy' and 'F.N.A.'?,Mick Cripps
06c60f99da,"Which artist collaborated with the singer who recorded ""My Tears Are Overdue"" and ""Let’s Both Have a Cry (1966)"" on the song ""Yearning""?",Jennette Hicks
9cbffc03dc,"Which Brazilian football club did Carlos Eduardo Alves Albina, also known as the entity with the same name as a recording by Les McCann Ltd., play for where he became closely identified with the fans?",Juventude
fd286bf4ca,"Which Australian musicologist described the sound of the band that recorded the songs 'On the Vine (Slight Reflux)' and 'Bride Of The Fair Countryside' as a diverse musical palette, taking in country-tinged Oz rock, pop, blues and jazz with strong, varied songs, crooning vocals, lap steel, and unusual instrumentation?",Ian McFarlane
27dbb9c019,"In which country is the village named Tsetse, North West located, which has the same name as the artist that recorded the track 'Dream'?",South Africa
8f53627379,On which river is the town with the same name as the birthplace of Martine Hansen situated?,Wiltz
c07583aabf,Which Irish band contributed to the album created by Hope Sandoval & the Warm Inventions and also appeared on 'Through the Devil Softly'?,Dirt Blue Gene
975c98c78f,"What is the name of the town in New York where filming for the third season of the TV program about 'Courage & Bravery' took place, representing Fagan Corners, Vermont?",Windham
6e08c68498,"In the video game with the same name as the song by Of Lions and Giants, what type of structure is damaged in a nuclear war and holds 1000 survivors in stasis?",hibernation dome
15a2482528,"In which city is the headquarters of the Department of Transportation, Communications and Infrastructure of the entity with the same name as the recording by Nickybaby located?",Palikir
9ba91fb930,Which filmmaker created the animation for the Luden's cough drops television commercial that featured the music of the artist who recorded 'Exercise Four' and creatively produced 'Yo Mama'?,Ed Seeman
74338c1076,"Which hills, known for their stark plateaus and rough terrain, are part of the forest that inspired artworks by Frédéric Bazille and Narcisse Virgilio Díaz and were a popular theme for painters and photographers of the Barbizon School?",Jean de Paris
17ce10234c,"What is the name of the publication where the story ""Kidnapped"" by the author of ""The Jungle Book - Reading Time"" was first published on March 21, 1887?",Civil and Military Gazette
125b8af4d0,What is the name of the genus of demosponges that is also called the classification of Crucifers?,Crambe
3736051c51,"What is the name of the research station in Alaska where Cassie, the protagonist of the novel with the same name as the recording by Daniel Lanois, is raised by her father?",Eastern Beaufort Research Station
ac4132f4d5,Which river is the Tuscan town where Carlo Arrighi was born located on?,Carrione River
27a6eae679,"Which educational institution in Saskatoon, Canada, is named after the founder of Kyiv-Mohyla Academy?",St. Petro Mohyla Institute
0c523f7cbb,"Who directed the music video for the song ""I Love You"" by the band which recorded the songs ""Beauty"" and ""Tell Me (Acapella)""?",Little X
7e0808d22b,What was the profession of the person born on 1788-07-04 who was elected as a fellow of the Royal Society in 1820?,astronomer
ff483d7ea3,"In which Russian city was a concert by the band which recorded the songs 'Universe of My Heaven' and 'Golden Years' banned in 2004, allegedly for the advocacy of violence?",Kemerovo
6a8a062f86,What is the name of the English Parliamentary bill proposed by the House of Commons in 1407 or 1410 that was inspired by the thinking of the author of 'De eucharistia'?,Lollard Disendowment Bill
9e5982661e,"Which science fiction convention, held in and around the place with the same name as a recording by Ed White and the Next of Kin, is the second oldest in the state?",LepreCon
b0901aa51c,What is the name of the international airport that serves the metropolitan area which is the birthplace of Susilo Badar and Anto Wijaya?,Juanda International Airport
d7daff30c8,"What is the name of the independent publication about books that the author of ""Out of Hiding: Holocaust Literature of British Columbia : an Historical Survey in Appreciation of Robert Krell"" created?",BC Bookworld
51e985b494,"Which publication featured an essay by the author of ""Modern Meat"" in 2020 about the ""death of engagement"" between the United States and China?",The Wire China
d5f848d119,Who was appointed Minister of Agriculture in the country with the same name as the separate recordings by artists Dottor M and Fikus after the cabinet shuffle of 9 August 2010?,Peter Mwanza
9d07427cc0,"In which district of Kerala did a team with the same name as the recording by Glowjack carry out a combing operation following reports of sighting of Maoist insurgents in February, 2013?",Malappuram district
49213204b7,"What was the name of the home in Les Avants, Switzerland, where the opera singer who recorded the song 'Ah! Roland!' lived?",Chalet Monet
86f2ad6480,What is the title of the animated short film directed in 2023 by the same person who was an executive producer in the film Once in a Lifetime: The Extraordinary Story of the New York Cosmos?,The Day I Became a Bird
98b5c90bcc,"In the 1923 film with the same name as a recording with the track 'Second Fiddle', what is the name of the town where the Bradley family resides?",Spell's River
8c8fb40321,In which city was the painter Jamal Joratli born?,Salamiyah
4efa83b724,What is the name of the Taiwanese boy band that released a Chinese remake of the song with the same name as recordings by Da Tweekaz and Christophe Imbs?,Energy
0066a781e8,In which Spanish city was the film written by Fernando Colomo and also known as 'La Noche Que Mi Madre Mato A Mi Padre' shot?,Valencia
33d97585be,"Which institute, promoting social justice and human rights, did the author of ""Que votre joie soit parfaite"" serve as director of?",Las Casas Institute
01b6de6ecc,What was the academic title held by the author of 'Cepstral Filtering on a Columnar Image Architecture: a Fast Algorithm for Binocular Stereo Segmentation' at New York University Medical Center before joining Boston University?,Associate Professor of Psychiatry
38a283d60f,"Which American organization awarded the author of the book ""Elementary Solid State Physics: A Short Course"" the Oersted Medal in 1979?",American Association of Physics Teachers
c042d8af8b,Which record label gave some of its assets to the record label with an artist named The Ramrods in 1961?,Madison Records
a7dcaed770,"Which Australian Prime Minister was described as a ""fossil with a baseball cap"" by the person quoted as saying 'If one takes pride in one's craft, you won't let a good thing die. Risking it through not pushing hard enough is not a humility.' in 2019?",Scott Morrison
01d5e3568c,"What is the name of the film festival where the director of the film Ishu edited the official catalogue in 2003, 2004, 2005, 2007 and 2008?",International Film Festival of India
80c02b0ae0,"In the 1985 Quebec municipal elections, which political party supported the proposed annexation into the city of Montreal of the birthplace of John Dunning?",Verdun Unity Party
83fdcee558,Which company produced the feasibility study of a light rail system for the birthplace of Clara Vestris Webster?,Atkins
99a6e57df7,"What was the name of the tavern located next door to where Abel Roper moved his business, at the sign of the same name as the recording by Lez Zeppelin?",Devil Tavern
96a347850b,"Which playwright, who is also the stepdaughter of the author of 'The Painter with Women', was the first female to have her play performed on the main stage of the National Theatre?",Rebecca Lenkiewicz
cdc6b54b92,Which scent bottle was designed by the visual artist who created 'Bulgarian Child Eating a Rat' and is part of the collection at the Perfume Museum in Barcelona?,Le Roi Soleil
e11db0a7c2,Which Wisconsin highway is the place with the same name as a creative entity by Hybrid Kin located on near its junction with Wisconsin Highway 13?,Wisconsin Highway 86
174a15fa65,"What is the title of the 1928 songbook by the artist who recorded the songs 'Picture From Life's Other Side' and 'Sweet Betsy From Pike' that sold more than 100,000 copies?",My Favorite Mountain Ballads
f2901c7d70,"In which city was the Catholic Church prelate born on February 18, 1903?",Buccheri
ed59287ce4,Which organization is the producer of the album 'Defenders of the Faith' a member of?,Music Producers Guild
cfea8c0c25,In which cemetery is the writer of the screenplay for 'The Road to Romance' and her husband buried?,Mount Pleasant Cemetery
31e2679a7a,Which sport is the focus of the British sports drama film with the synopsis 'Four runners go to Rome to compete in the 1960 Olympics.'?,marathon
1f084f0082,"Which Polish city is the location where the composer of Miserere, op. 44 dedicated their work?",Bydgoszcz
116e8b6e53,In which hill station of the British Raj was the English cricketer whose name is commonly shortened to M. Corke born?,Murree
79cc291b31,What document can non-permanent residents of the birthplace of Ben Hopkins obtain to travel if they cannot get a national passport from another country?,Document of Identity
492d19785c,"Which musician played bass on the song ""Was Never There"" by the same artist who recorded ""Red Don't Feel""?",Flea
e6f7f2ea44,Who was the photographer for the album Shpritsz by the band which recorded the songs 'Don’t Do It' and 'Job'?,Anton Corbijn
a3481b9c21,"Who arranged the song ""I'll Wait for You"" performed by the same artist who recorded the track ""Trumpet Sorrento""?",Peter De Angelis
ce82a3894d,What is the name of the organization that awarded the artist who recorded 'A. Shurbin Sonata Nr 3 Walk through njeskutchny sad' the Merit Award in 2008?,Confédération Internationale des Accordéonistes
570580694d,"Which record label released the album Solinari by the American doom metal band which recorded the songs 'Phoenix Moons (1995 instrumental demo)' and 'She, the Master Covets' in 1999?",Relapse Records
4408cda92e,Which American former actress sang the theme song for the 1982 film with the same name as the recording by Jessica Penner?,Phoebe Cates
5046742c77,"Which railway line serves the transit stop with 3 tracks on the Takayama Line in Gifu Prefecture, Japan?",Takayama Main Line
555b167f6a,"In the 2011 film which was executive produced by both Mingyu Peng and Xu Jinglei, what is the profession of the character Amy, played by Xu Jinglei?",investment bank official
aa75a54baf,"What is the name of the house designed by the architect of the Edwin H. Cheney House located in Virginia Beach, Virginia?",Andrew B. Cooke House
7d72267823,"What is the name of the film based on the novel of the same name by the author of ""Sommersgate House"", released on February 14, 2020?",The Will
3e3df459f7,"Which record label released the single ""Because You're Young"" by the band with the same name as the song by Protex on March 12, 1982?",Chrysalis Records
fb1ed18780,What is the name of the main character in the 2006 novel with the same name as the film produced by Faulkner-McLean Entertainment?,Moon Blake
ea1e96247f,"What was the name of the university where the author of ""Using Hypnotism: Expert Tips from the Creator of the Manchurian Candidate Or Mind-Controlled Assassin"" served as chairman of the Department of Psychology?",Colgate University
5be7c09e5c,"What is the title of the Israeli film directed by the author of ""Unfair to Goliath"" released in 1971?",The Policeman
eee5dd9bae,What is the name of the heavy metal/punk band that the recording artist of the song 'Chicks Dig Bad Boys' is a member of?,Löded Diper
ccba48959d,"Which music group released the compilation album 'Classic Hits of the composer of the compositions ""Winter Song"" and ""Sunday Morning Sunshine"" in 2003?",Warner Music Group
11baf30e8b,"In the 1917 film also known as ""FIGHTING FOR LOVE"", what is the name of the kingdom's ruler who is beloved by her people?",Sylvia
87ab345cb2,"Which record label released the album ""The Strainge Case of Steve"" by the band which recorded the tracks 'Psychlops' and 'Nightmare' in 2023?",Cuneiform Records
c6c7bfd529,Which South Korean entertainment company distributed the debut studio album 'The Awakening: Written in the Stars' by the artist who recorded 'Call My Name' and 'Gas Pedal'?,Kakao Entertainment
f44f0e9a07,"Which church in Scania, Sweden, designed by the architect of AB Börringekloster Huvudgård and Öved Kyrka, was inaugurated in 1788?",Sofia Albertina Church
50c8e9c4d9,"What is the brand name of the urban oldies format that the radio station using the slogan 'Philly's Favorite Classic R&B' flipped to on December 10, 2018?",Classix 107.9
56ad4fb66c,"In which Irish city was Castle Hackett, a filming location for the movie with the same name as a book with Dewey decimal number 942.0164092$220, located?",Tuam
214c5375a4,What is the name of the British motorcycle manufacturer that first showed the motorcycle with the same name as a composition by Snail Mail in 1938?,Brough Superior
d7d490bdfb,"What was the maiden name of Anne Berkeley, Baroness Berkeley, who was a lady-in-waiting to the person with the same name as a play first performed on 2010-07-24?",Anne Savage
c54a2c2682,"Which record label released the compilation album 'Bootleg Retrospective' by the band which recorded the songs 'So Tough (outtake)' and 'Earthbeat 12""'?",Y Records
faaf987107,Which football club did the English person Chris Bush join on loan from Gateshead in January 2013?,Lincoln City
3bf7b946b5,What was the original name of the insurance company which is also known as Nationwide Mutual Group?,Farm Bureau Mutual Automobile Insurance Company
718bbe830d,"In the 1998 Indian Malayalam film with the screenplay by A.R. Mukesh, what is the name of the character played by the actor Prem Kumar?",Jayan
62c7ec05bf,"According to Auguste Bontems-Lefort, a contemporary French military envoy to Iran, which army looted and seriously damaged the religious buildings in Echmiadzin of the people who speak the same language as is used in the media item 'Our Yard'?",Russian army
f35aac94b1,"Which artist created the sculpture of the person with the same name as the singer of 'The Dundee Weaver' that was unveiled on Sheriff Street, Dublin?",Vera Klute
40c4ffbb63,"Which streaming service signed a deal with STX Entertainment to produce an animated television series based on the film with a soundtrack of the same name, classified as Adventure, in May 2018?",Hulu
fdee0ec15a,"According to a study from 2019, which size of firms in the country where Atelaw Yeshetela Bekele and Mohamed Kedir were born face the highest tax burden?",small firms
7cfdafb8e6,"Which state attempted to sue the person who said 'If I am shot at, I want no man to be in the way of the bullet.' for enforcing the Reconstruction Acts?",Mississippi
0956f19303,What is the name of the record label that released the vinyl version of the extended play with the same name as recordings by Dying Desolation and Dance Cult by Sevdaliza?,Music on Vinyl
821d7ee0d5,What is the title of the debut single released in 2022 by the singer-songwriter born in Spain on 2001-12-12?,Si No Estás
5eb276f9ea,Which celestial body is on a collision course with Earth in the TV series with episodes such as 'Beach Party' and a synopsis of 'Three friends discover they become mermaids when in contact with water.'?,a comet
ad20cfe206,"Which record label released the second studio album, Absolute Value, by the Boston rapper who recorded the track 'Live'?",Fat Beats Records
370f75d9cc,Which team defeated the team also known as Sea-Port Cascades in the final to become the 2016 American Ultimate Disc League Champions?,Dallas Roughnecks
aa91151e7d,What was the name of the electorate for which a by-election was held in the Australian state where John de Vries and Jim West were born on 1 February 1878?,East Macquarie
09b5527034,Which tribe did the tribe of the fictional character whose child is Osman Bey seek refuge with after the Mongols massacred half of their tribe in Erzurum?,Dodurga
37d8e380c3,"According to Mary Louise Graffam, what did she and others argue would free the ethnic group which includes Cherkesogai from Turkish domination?",an independent Armenia
21904e55cb,Find the person who was the set decorator for both A Quiet Place Part II and The Truman Show.,Nancy Haigh
52adff4aab,When was the person born who served as the film editor for both The Fall Guy and Deadpool 2?,1965-07-06
ddd269e809,Consider the common individuals who created How to Get Away with Murder and wrote Grey\'s Anatomy. What are the books they have written that were published before 2009?,The Hollywood Assistants Handbook: 86 Rules for Aspiring Power Players
9de59461e6,Who directed the casting for the film American Pie?,Joseph Middleton
4d3e9187ca,"For the teams that both Roy Keane and Steve Cooper coached, find the one with the earliest coaching start date by either of them. What is the founding date of that particular team?",1865
14667c2b30,"Considering the films released in 2019-12-16 that featured both Kylo Ren and Ahsoka Tano, which female actors played the character Ahsoka Tano?",Ashley Eckstein
d1e126d2ba,List the films released in 2015-08-19 that were produced by the same person who was the producer of Interstellar and the screenwriter of Oppenheimer.,Quay
ad384f92d4,"Of all the films directed by Taylor Sheridan, who was in charge of set decoration for the one released earliest?",Goar Galstyan
5ffdf2e36c,Name the costume designer of the earliest released film where the fictional character Hannibal Lecter made an appearance.,Colleen Atwood
84bc4e937d,"For the character Katniss Everdeen, which female actors were in the films that are sequels to The Hunger Games and also belong to the film series The Hunger Games?",Jennifer Lawrence
5241e197bd,"Who designed the production of the films that Stephen Moyer directed, which were released in 2018-06-24?",Mark Larkin
f273d2c5d5,What is the name of the cinematographer who worked on the film that is a prequel to The Empire Strikes Back and also included in the Star Wars original trilogy series?,Gilbert Taylor
869caffd27,Find the oldest book written by a producer of the film Challengers.,Between U and Me: How to Rock Your Tween Years with Style and Confidence
b4ba0a0256,"If a film starring Clint Barton was released in 2019-04-22, what was its release date in the US?",2019-04-26
d1e8be0bf2,"Among all the films produced by Michael Caine, who edited the film that came out first?",John Trumper
5bf7df3d78,"Among the directors of the film series to which the film Wishmaster belongs, who was born earliest?",Jack Sholder
5c9d4999b4,Determine the art director who worked on both Paddington and Harry Potter and the Prisoner of Azkaban.,Steven Lawrence
78c9629c79,What is the release date of the most recently released film among all films written by Norm Macdonald?,2022-05-30
276d5d420d,"Among all the films directed by Robert De Niro, find the cinematographer of the film with the maximum release date.",Robert Richardson
7d28d33989,"Regarding the film Wayne\'s World, who designed the costumes for its subsequent film?",Melina Root
de1a636d1c,Determine the art director who worked on both Cheaper by the Dozen and Forgetting Sarah Marshall.,Scott Meehan
cfbb2bc26f,Find the cinematographer of the film that is a direct sequel to Pitch Perfect.,Jim Denault
57eb20f77c,Identify the TV show that features Eobard Thawne and has the minimum end date among all such shows.,Batman: The Brave and the Bold
02e248319e,Which person was responsible for the production design of the earliest released movie directed by Steve Guttenberg?,Mark Harper
3728a9a642,Find the production designer of the earliest released movie written by Jordan Peele.,Aaron Osborne
3b2cb7b8f9,Which individuals were the casting directors of the movies written by Paul Reubens with a release date of 1988-12-21?,Diane Dimeo
f4a1d62bd4,What person wrote the screenplay for the earliest movie starring the fictional character Billy the Kid?,Edward J. Montagne
741cc565de,"Among the films produced by the intersection of producers of The Watchers and screenplay writers of Trap, what is the oldest release date?",Praying with Anger
7d547491cc,"What are the names of the players who were drafted by teams common to both Stephen Curry and Wilt Chamberlain, and whose active period with the team ended on 2008-12-18?",Richard Hendrix
d633a9625c,What female actors were cast as Merit in films produced by Travis Kelce that came out before 2025?,Sonequa Martin-Green
9443ea4a26,Tell me the date of birth of the person who produced It\'s Complicated as well as The Truman Show.,1958-07-14
dda375f086,Who designed the production of the films released in 2012-08-24 and featuring Holly Willoughby as an actor?,Tom McCullagh
cb127f7e3b,"What were the award categories won by the person who was president when Dick Cheney was vice president, at the ceremony on 2018?",Liberty Medal
22ba04b3f7,Identify the person who served as executive producer for The Ministry of Ungentlemanly Warfare and producer for The Rental. Which film produced by this person has the minimum release date?,At Any Price
285f02b2ff,Can you name the trainer shared by both Coco Gauff and Andy Murray?,Brad Gilbert
a01ad1740a,"For the person who is credited as the screenwriter on both Fifty Shades of Grey and Venom: The Last Dance, what is their birth date?",1974-01-10
3e2c77289d,Find the person who did the set decoration for the most recently released film that Daisy Duke appeared in.,Robin Peyton
7060edd410,"Of the films produced by Kevin Gage, find the person who provided the story for the earliest one.",Shane Ryan
3b430c98ca,"For the films written by Norm Macdonald and released on 1998-06-12, who composed the music?",Richard Gibbs
5a28182564,"Regarding the film Home Alone 2: Lost in New York, who designed the costumes for its subsequent film?",Jodie Lynn Tillen
e330b6400b,"Of the films directed by Marty Feldman, who designed the production of the film released last?",Lawrence G. Paull
9f847efa21,What person is the oldest spouse of the people who created the TV program Derry Girls?,Tobias Beer
f6c230d900,"Considering all executive producers of The Hunger Games, find the earliest released book written by them.",FIRE PROOF
6142e8302d,"Considering the films that Roger Clemens acted in, who composed the music for the film with the earliest release date among them?",Elliot Goldenthal
f8adf82831,"For the person who worked on the screenplay for both The Princess Bride and Misery, what is their wedding date?",1961-04-15
d3ff02df59,"Before 1997, who designed the costumes for the films that Kevin Spacey directed?",Isis Mussenden
2cd573dc82,Which person was the cinematographer for the earliest released movie written by Brittany Snow?,Sandra Valde-Hansen
4a02d18ab0,Take the cricket teams that Ravi Shastri and Gary Kirsten both coached. Consider the team among them with the highest 'from' date for coaching. Who from that team's roster history has a start date of 2004-09-05?,Dinesh Karthik
9b1feeaa82,"For the person who was a coach for Boston Red Sox and a manager for Chicago White Sox, which of their spouses had a start date equal to 2013?",Kathryn Venable
b54ba6cabf,Who are the cinematographers of the films directed by Kevin Spacey that were released in 1996-09-09?,Mark Plummer
ce389bdbe2,List the female actors who played the character Senapathy\'s Wife in the film that came before Indian 2.,Sukanya
11b23fd878,Who among the female cast played the character Young Iduna in the sequel of the film Frozen?,Delaney Rose Stein
7bac74bedf,Find the organization of education where the host of the TV program The Kitchen had an end date equal to 2000.,Bradley University
d2ea9585c5,What books released on 2016-11-15 were written by the head coach of the basketball team Arkansas Razorbacks men\'s basketball?,Success Is the Only Option: The Art of Coaching Extreme Talent
613a99d7a6,What is the release date of the latest film directed by Rita Wilson?,2007-10-05
377c49313f,"Of the films produced by Sheila Kelley, find the set decorator of the film with the maximum release date.",Chris Tunney
1601c07605,Find the female actor who took on the role of Ravenclaw Student in the earliest released film in which the fictional character Cedric Diggory appears.,Sarah Harrison
c1a10c0a78,Who wore the minimum jersey number in the team that emerged as the champion of UEFA Euro 2016?,Rui Patrício
83d9bd0fae,What is the date of birth for the person who wrote the book series The Quintessential Quintuplets?,1991-07-27
e6d122e40f,Who is the mascot for the sports team Dallas Wings?,Lightning
b5ef1c4107,"Among all the films produced by Bárbara Mori, who edited the film that came out first?",Jorge Macaya
d1aa9cd679,"Among the films released in 1993-04-10, which ones were produced by the person who both created Dexter and was a writer for The Sopranos?",The Positively True Adventures of the Alleged Texas Cheerleader-Murdering Mom
19898e3abd,Consider the costume designers of the film Psycho. Find the award category with the earliest ceremony date among the awards they have won.,Costume Designers Guild Award for Career Achievement in Television
1615ea9a64,"List all sports teams where the head coach of Auburn Tigers football was the coach, with a coaching end date of 2017-07-20.",Ole Miss Rebels football
339bd53bcb,"In the films released in 2013-09-19 where Elon Musk appeared as an actor, who were the cinematographers?",Robert Rodriguez
